Sentence,Sentiment
geosolutions technology leverage benefon gps solution providing location based search technology community platform location relevant multimedia content new powerful commercial model,positive
esi low bk real possibility,negative
last quarter componenta net sale doubled eurm eurm period year earlier moved zero pre tax profit pre tax loss eurm,positive
according finnish russian chamber commerce major construction company finland operating russia,neutral
swedish buyout firm sold remaining percent stake almost eighteen month taking company public finland,neutral
spy surprised see green close,positive
shell billion bg deal meet shareholder skepticism,negative
ssh communication security corp stock exchange release october pm company update full year outlook estimate result remain loss full year,negative
kone net sale rose year year first nine month,positive
stockmann department store total floor space square metre stockmann investment project price tag eur million,neutral
circulation revenue increased finland sweden,positive
sap q disappoints software license real problem cloud growth trail msft orcl goog crm adbe http co jndphllzq,negative
subdivision made sale revenue last year eur million eur million operating profit eur million eur million,positive
viking line canceled service,neutral
ahlstrom corporation stock exchange announcement total new share ahlstrom corporation subscribed option right company stock option program ii,neutral
fb gone green day,positive
msft sql server revenue grew double digit sql server premium revenue growing http stks co irf,positive
according l ñnnen tehtaat ceo matti karppinen company aim deliver fish product customer day earlier currently,neutral
company share quoted nasdaq omx helsinki rautaruukki oyj rtrks,neutral
elcoteq se listed nasdaq omx helsinki ltd,neutral
two contract turntable anode vibrocompactors delivered gansu hualu aluminum co ltd another unnamed costumer,neutral
aviva friend life top forecast ahead billion pound merger,positive
stead based soft drink usual teho energy drink made fresh water,neutral
company plan increase unit specialist staff several dozen depending market situation,neutral
company closed last year turnover four million euro,neutral
shire ceo step drive get baxalta board talking,positive
costco premier retail dividend play http co facnhtt cost,positive
five storey eco efficient building gross floor area sq also include apartment,neutral
first installment cinema series concludes profile finnish inventor olavi linden whose personal artistic journey work fiskars led dozen design award,neutral
welcome,neutral
stockmann swedish sector company ab lindex entered agreement september whereby stockmann wholly owned subsidiary make public tender offer lindex issued share,positive
huhtamaki oyj stock exchange release huhtamaki capital market day institutional investor analyst held espoo september starting pm finnish time,neutral
pleased welcome tapeks noma cramo group,positive
profit tax eur million,neutral
royal dutch shell buy bg group nearly billion,positive
financialwire tm not press release service receives compensation news opinion distribution,neutral
